src_id,src_lang,tgt_lang
1273,步骤,Các bước
1273,方法 1,Phương pháp 1
1273,方法 1 的 3:,Phương pháp 1 của 2:
1273,1. 获得一个支持AirPrint的打印机。,1. Chắc chắn rằng bạn có máy in hỗ trợ AirPrint.
1273,- 如果你没有兼容AirPrint的打印机，你仍然可以在工作场所或其他地方找到一个具有AirPrint打印机的网络，这样你就可以通过它来进行打印了。,"- Nếu không có máy in tương thích với AirPrint, bạn vẫn có thể sử dụng AirPrint bằng cách tìm mạng có máy in hỗ trợ AirPrint ở nơi làm việc, trường học, v.v."
1274,然而眼部受伤以及很多疾病都会大大影响猫咪的视力，甚至导致失明。,"Tuy nhiên, những chấn thương và bệnh tật có thể làm thị lực của mèo giảm đi rõ rệt, thậm chí là bị mù."
1274,留心观察猫咪身体或行为上的变化，判断猫咪的视力是否正在下降，或者是否已经完全失明，这样你才能给猫咪最好的照料。,Việc xác định mèo có bị mù hay không cũng là để bạn có thể giúp đỡ nó. Hãy để ý những thay đổi về thể chất và hành vi cho thấy mèo bị giảm thị lực hoặc mù nhằm thiết lập chế độ chăm sóc tốt nhất.
1274,猫具有超凡的视力，能在一天当中的不同时段清晰地分辨出室内和室外的景物。,Loài mèo có đôi mắt đặc biệt giúp chúng nhìn rõ cả trong nhà lẫn ngoài trời vào những thời điểm khác nhau trong ngày.
1274,如果你能及早发现失明的前兆，猫咪就能尽快得到到治疗，它的视力也会部分甚至完全恢复。,"Nếu triệu chứng được phát hiện sớm và điều trị kịp thời, bạn có thể giữ lại phần nào hoặc hoàn toàn thị lực cho mèo."
1274,步骤,Các bước
1274,方法 1,Phương pháp 1
1274,方法 1 的 3:,Phương pháp 1 của 3:
1274,- 观察猫咪在获取熟悉的事物时是否遇到困难，比如找不到食物和盛水盘。,"- Lưu ý nếu mèo gặp khó khăn với những đồ vật quen thuộc, chẳng hạn như đi tìm bát đựng nước hoặc thức ăn."
1274,2. 留心猫咪走路的样子。,2. Quan sát dáng đi của mèo.
1274,还有一个需要留意的地方就是看猫走路时是埋着头还是上下点头，判断距离。[2] 研究来源,Những dấu hiệu khác cần theo dõi là mèo đi với tư thế cúi đầu hoặc ngẩng đầu lên xuống để cảm nhận khoảng cách.[2] Nguồn nghiên cứu
1274,3. 听猫叫。,3. Lắng nghe chú mèo.
1274,你的猫最近是不是叫得更厉害了？,Có phải gần đây mèo kêu nhiều hơn không?
1274,总的来说，猫咪在适应视力下降过程中还会表现出紧张、害怕或者生气的情绪。[3] 研究来源,"Bạn cũng có thể thấy mèo thường tỏ ra lo lắng, sợ sệt hoặc buồn bã trong quá trình điều chỉnh để thích nghi với việc mất đi thị giác.[3] Nguồn nghiên cứu"
1274,4. 看猫是否变得更粘人。,4. Để ý nếu chú mèo trở nên quấn người.
1274,方法 2,Phương pháp 2
1274,方法 2 的 3:,Phương pháp 2 của 3:
1274,1. 观察猫的瞳孔。,1. Quan sát đồng tử của mèo.
1274,如果你怀疑猫咪完全失明了或者视力正在下降，就观察它的瞳孔。,"Nếu bạn nghi ngờ thú cưng bị mù hoặc sắp sửa mù, hãy nhìn vào đồng tử của mèo."
1274,2. 检查猫眼睛的颜色。,2. Kiểm tra màu mắt mèo.
1274,你也可能发现猫的眼睛看起来更浑浊，或者更白了。,"Hãy quan sát xem mắt mèo có bị đỏ nhiều hơn hay không. Ngoài ra, mắt mèo có thể trở nên mờ đục, có màu trắng sữa hoặc xuất hiện nhiều mảng trắng hơn."
1274,- 看猫眼周围组织是否过度发红。,- Quan sát xem các mô xung quanh mắt mèo có bị đỏ quá hay không.
1274,- 如果猫眼的晶状体浑浊不清，这可能是白内障的征兆。,"- Nếu giác mạc của mèo có vẻ mờ, nhiều khả năng đây là dấu hiệu của bệnh đục thủy tinh thể."
1274,把你的手指尖迅速移动到猫眼前，但不要碰到猫的眼角膜。,Di chuyển đầu ngón tay nhanh về phía mắt mèo nhưng không chạm vào giác mạc.
1274,3. 测试猫的威嚇反应。,3. Kiểm tra “phản xạ đe dọa” của mèo.
1274,手指不要离猫的胡须太近，否则胡须会感觉到微风，从而觉察出你的手指在向它的脸部靠近。,Đừng đưa ngón tay quá gần vì mèo có thể cảm nhận được làn gió nhẹ sắp tiếp cận thông qua râu.
1274,4. 试着将毛线球扔在猫面前。,4. Thử thả một quả bóng trước mặt mèo.
1274,球不要离猫胡须太近，否则猫会察觉到球的存在。[4] 研究来源,Không nên thả bóng quá gần vì mèo có thể cảm nhận được quả bóng thông qua râu.[4] Nguồn nghiên cứu
1274,看猫是否在观察球，或者视线随着毛线球向下移动。,Để ý xem mèo có quan sát hay hướng mắt theo khi quả bóng rơi xuống không?
1274,大多数视力正常的猫都会被掉落的球吸引。,Hầu hết mèo có thị lực bình thường sẽ nhìn theo khi quả bóng rơi.
1274,虽然这不一定表示你的猫瞎了，但是青光眼如果得不到治疗就会导致失明。[5] 研究来源,"Mặc dù điều này không cho thấy rằng chú mèo đang bị mù, nhưng bệnh tăng nhãn áp có thể dẫn đến mất thị lực nếu như không được điều trị.[5] Nguồn nghiên cứu"
1274,如果猫的一只眼睛比另一只大，你还是带它去看兽医吧。,"Nếu một bên mắt có vẻ to hơn bên còn lại, hãy mang mèo đi khám."
1274,5. 观察猫眼的大小，检查是否有青光眼。,5. Quan sát kích thước mắt để kiểm tra bệnh tăng nhãn áp.
1274,方法 3,Phương pháp 3
1274,方法 3 的 3:,Phương pháp 3 của 3:
1274,1. 如果你怀疑猫已经或者就要失明了，那就带它去看兽医。,1. Mang mèo đi khám. Mang chú mèo đến phòng khám thú y nếu bạn nghi ngờ thú cưng bị suy giảm hoặc mất thị lực.
1274,把你担心的问题告诉兽医，这也包括你观察到的症状。,Trao đổi với bác sĩ thú y về nỗi lo cũng như những triệu chứng mà bạn nhận thấy.
1274,你要尽快带猫去看兽医，因为早期治疗对于预防整体失明非常重要，也能帮助医生及时发现可能引起上述症状的危险疾病。,"Mèo cần được đưa đi khám càng sớm càng tốt, điều này rất quan trọng vì việc điều trị kịp thời có thể ngăn chặn mù hoàn toàn, hoặc phát hiện ra tình trạng nguy hiểm nào đó từ những triệu chứng mà bạn nhận thấy."
1274,- 失明可能是其它疾病的症状之一，比如高血压。,"- Mù có thể là triệu chứng của những bệnh nghiêm trọng khác, chẳng hạn như huyết áp cao."
1274,3. 在户外活动时看好猫咪。,3. Giám sát khi mèo ở bên ngoài.
1274,把门窗关紧，不让猫溜出去，宠物门也要堵起来。,Luôn đóng cửa sổ và cửa ra vào để mèo không thể ra ngoài. Nhớ che chắn lối đi dành cho vật nuôi.
1274,你还要警告家庭成员，尤其是小孩和访客不要发出巨大的噪音，或者做出可能吓坏猫的事情。,"Hạn chế gây ra những tiếng động lớn hoặc khiến mèo giật mình. Cố gắng hết sức để giữ cho bạn cũng như chú mèo luôn bình tĩnh. Bên cạnh đó, bạn cũng cần dặn dò các thành viên trong gia đình (đặc biệt là trẻ nhỏ) cũng như khách đến thăm tránh làm ồn hoặc làm điều gì đó khiến mèo hoảng sợ."
1274,5. 不要让猫受到惊吓。,5. Hạn chế làm mèo bị giật mình.
1275,YouTube隶属于Google，因此Google帐户的头像就是YouTube帐户的头像。,Vì YouTube thuộc Google nên ảnh đại diện mà bạn sử dụng cho tài khoản Google cũng sẽ được dùng cho tài khoản YouTube.
1275,本指南介绍如何设置YouTube帐户的头像。,wikiHow hôm nay sẽ hướng dẫn bạn cách thiết lập ảnh hồ sơ cho tài khoản YouTube.
1275,步骤,Các bước
1275,方法 1,Phương pháp 1
1275,方法 1 的 3:,Phương pháp 1 của 3:
1275,使用电脑,Trên máy tính
1275,1. 在网页浏览器中前往https://www.youtube.com。,1. Truy cập https://www.youtube.com bằng trình duyệt web.
1275,可以使用Windows或Mac上的任何浏览器。,Bạn có thể sử dụng trình duyệt web bất kỳ trên PC hoặc Mac.
1275,2. 登录YouTube帐户。,2. Đăng nhập tài khoản YouTube.
1275,如果没有自动登录YouTube帐户，点击YouTube网页右上角的蓝色登录按钮，然后选择与YouTube关联的Google帐户。,"Nếu chưa được đăng nhập tự động vào tài khoản YouTube, bạn hãy nhấp vào nút Sign In (Đăng nhập) màu xanh ở phía trên bên phải trang YouTube. Sau đó, chọn tài khoản Google liên kết với tài khoản YouTube."
1275,- 如果列表中没有与YouTube关联的帐户，点击使用其他帐号，然后输入电子邮件地址和密码登录YouTube。,"- Nếu không có tài khoản nào trong danh sách liên kết với tài khoản YouTube, hãy nhấp vào Use another account (Sử dụng tài khoản khác) và đăng nhập bằng địa chỉ email và mật khẩu gắn liền với tài khoản YouTube."
1275,3. 点击右上角的图标。,3. Nhấp vào biểu tượng ở góc trên bên phải.
1275,点击后会出现帐户菜单。,"Sau khi nhấp vào, trình đơn tài khoản sẽ hiện ra."
1275,4.,4.
1275,5. 点击在Google上修改。,5. Nhấp vào Edit on Google (Chỉnh sửa trên Google).
1275,随后会打开Google帐户的“关于我”页面。,"Trang ""About Me"" (Thông tin cá nhân) của tài khoản Google sẽ hiện ra."
1275,6.,6.
1275,7. 点击上传照片。,7. Nhấp vào Upload Photo (Tải ảnh lên).
1275,随后会显示文件浏览器，可以通过它来选择照片。,Trình duyệt tập tin để bạn chọn ảnh sẽ hiện ra.
1275,8. 选择照片并点击打开。,8. Chọn ảnh và nhấp vào Open (Mở).
1275,点击照片以选中它，然后点击文件浏览器右下角的打开。,Hãy nhấp vào tập tin ảnh để chọn rồi nhấp Open ở góc dưới bên phải trình duyệt tập tin.
1275,文件浏览器的左边栏会显示不同的文件夹。,Những thư mục khác nhau sẽ được liệt kê trong thanh bên trái trình duyệt tập tin.
1275,使用文件浏览器找到电脑上的照片。,Sử dụng trình duyệt tập tin để điều hướng đến tập tin ảnh trên máy tính.
1275,- 如果Google帐户中已有照片，也可在这些照片中选择一张。,"- Hoặc nếu đã tải ảnh lên tài khoản Google, bạn có thể nhấp vào một trong những ảnh đó trong cửa sổ ""Pick a photo""."
1275,包括YouTube帐户在内的所有Google帐户都会使用所选的照片作为头像。,"Ảnh mà bạn vừa chọn sẽ được áp dụng cho tất cả tài khoản Google, trong đó bao gồm tài khoản YouTube."
1275,方法 2,Phương pháp 2
1275,方法 2 的 3:,Phương pháp 2 của 3:
1275,使用iPhone或iPad,Trên iPhone và iPad
1275,1. 打开YouTube应用程序。,1. Mở ứng dụng YouTube.
1275,点击主屏幕上的图标打开应用程序。,Hãy nhấn vào biểu tượng ứng dụng trên màn hình home để mở.
1275,- 如果没有自动登录，点击右上角的人形剪影图标，然后选择与YouTube关联的Google帐户。,"- Nếu chưa được đăng nhập tự động, bạn cần nhấp vào biểu tượng hình người ở góc trên bên phải và chọn tài khoản Google liên kết với tài khoản YouTube."
1275,如果没有列出此帐户，点击添加帐户，然后使用电子邮件地址和密码登录YouTube。,"Nếu tài khoản cần tìm không được liệt kê, hãy nhấn vào Add account và đăng nhập với địa chỉ email và mật khẩu liên kết với tài khoản YouTube."
1275,2. 点击右上角的图标。也就是头像所在的位置。,2. Nhấn vào biểu tượng ở góc trên bên phải nơi thường hiển thị ảnh hồ sơ.
1275,如果尚未设置YouTube帐户的头像，会显示一个单色圆形图标，中间是姓名的首字母。,Nếu bạn chưa đặt ảnh hồ sơ cho tài khoản YouTube thì vị trí này sẽ là hình tròn màu với bóng người ở giữa.
1275,3. 点击姓名。它位于“帐号”菜单的顶部，头像的下方。,"3. Nhấn vào tên bạn nằm bên dưới biểu tượng hồ sơ ở đầu trình đơn ""Account""."
1275,随后会列出可登录的帐户。,Danh sách tài khoản mà bạn có thể đăng nhập sẽ hiện ra.
1275,4.,4.
1275,5. 点击要设置新头像的帐户。,5. Nhấn vào tài khoản mà bạn muốn đặt ảnh đại diện mới.
1275,6. 点击更新照片。,6. Nhấn vào Update Photo.
1275,它位于“Google帐号”菜单的顶部，姓名和电子邮件地址的下方，是一个蓝色链接。,Dòng chữ màu xanh này nằm bên dưới tên và email bạn ở đầu trình đơn Google Account.
1275,7. 点击设置个人资料照片。,7. Nhấn vào Set profile photo (Đặt ảnh hồ sơ).
