src_id,src_lang,tgt_lang
626,当你看到别人在笑时，不要 以为世界上只有你一个人在伤心，其实别人只是比你会掩饰。,Khi bạn nhìn thấy người khác cười đừng nghĩ rằng trên đời này chỉ có một mình bạn đau lòng.
626,当别人忽 略你时，不要伤心，每个人都有自己的生活。,Khi người khác không quan tâm đến bạn thì cũng đừng buồn vì ai cũng có cuộc sống riêng của mình.
626,写 给 自己 的 第 626 封 信 当你觉得处处不如人时，不要自卑，记得你只是平凡人。,Bức thư viết cho chính mình số 626 Khi bạn thấy mình không có điểm nào bằng người khác thì đừng tự tỉ. Hãy nhớ rằng bạn chỉ là người bình thường thôi.
628,写 给 自己 的 第 628 封 信 希望你能再变得淡定点，淡定地面对旁人的闲言碎语，淡定地面对别 人未履行的承诺，淡定地面对身边人的渐行渐远，淡定地面对生活中遇到 的挫折。,"Bức thư viết cho chính mình số 628 Hi vọng bạn có thể điềm nhiên. Điềm nhiên để đối mặt với những lời đàm tiếu của người đời, điềm nhiên để đối mặt với những lời hứa chưa thực hiện được và điềm nhiên đối mặt với những khó khăn trắc trở trong cuộc đời."
630,写 给 自己 的 第 630 封 信 用单纯的眼光看待人生，你将少掉许多莫名的烦恼；用幸福的脚印丈 量生活，你的步履会轻盈洒脱；用感恩的心去面对帮你的人，你会发现人 间有许多无私与美好；用宽容的心去面对伤你的人，你会觉得他们其实也 都不容易.,"Bức thư viết cho chính mình số 630 Dùng ánh mắt đơn thuần nhìn nhận thế giới, bạn sẽ hớt đi được rất nhiều phiền não. Dùng dấu chân hạnh phúc đi trên đường đời thì bước chân của bạn sẽ nhẹ nhàng hơn rất nhiều. Dùng tấm lòng biết ơn đối xử với những người từng giúp bạn, bạn sẽ phát hiện ra trên thế giới này còn rất nhiều người vô tư và vô số điều tốt đẹp."
631,写 给 自己 的 第 631 封 信 人生这场旅行，时间是最公平的资源。,Bức thư viết cho chính mình số 631 Trong chuyến du lịch cuộc đời thì thời gian chính là cán cân công bằng nhất.
632,写 给 自己 的 第 632 封 信 能够拯救你的，只能是你自己，不必纠结于外界的评判，不必掉进他 人的眼神，不必为了讨好这个世界而扭曲了自己。,"Bức thư viết cho chính mình số 632 Người có thể cứu van bạn chỉ có chính bạn mà thôi. Bạn không cần quan tâm đến phán xét của người đời, không cần phải lọt vào mắt ai đó và cũng không cần nịnh nọt ai đó mà làm méo mó bản thân."
632,一个真正坚强的人，坚 强的不是嘴，而是心。,Một người kiên cường thực sự không phải kiên cường ở lời nói mà là kiên cường trong tấm lòng.
634,写 给 自己 的 第 634 封 信 你给了生活意境，那么生活才能给你风景，打开一扇心窗，拥有一份 温而不沸的情怀，拥有一颗淡然的心，懂得接受生命中的遗憾，学会珍惜 生命中的感动，让心溢满宁静与阳光，以从容的姿态，安之若素，将万千 繁华赏尽，携一抹风轻云淡，笑看流年。,"Bức thư viết cho chính mình số 634 Bạn cho cuộc sống ý nghĩa thì cuộc sống mới có thể cho bạn cảnh sắc, cho bạn mở rộng lòng mình, có tình cảm ấm áp mà không sục sôi, một trái tim điềm nhiên biết cách chấp nhận những điều đáng tiếc trong cuộc đời, cho bạn học cách trân trọng những điều cảm động trong cuộc đời để trái tím tràn ngập bình tĩnh và cho bạn ánh nắng ấm áp, lấy tâm thế ung dung để tận hưởng trọn phồn hoa trong đời. Bạn hãy mang theo gió nhẹ mây mờ, nụ cười dịu dàng qua từng năm tháng nhé."
635,写 给 自己 的 第 635 封 信 这个世界上有很多事情是不值得我们花心思去焦虑和困扰的，所以千 万不要为了那些无关紧要的人、无关紧要的事，让自己陷入无限的纠结和 愤怒之中，毕竞它们在我们以后的人生中根本不值得一提。,"Bức thư viết cho chính mình số 635 Trên đời này có rất nhiều chuyện không đáng để chúng ta tốn công nghĩ ngợi phiền muộn vì thế nhất định đừng để những người, những việc không liên quan đến bản thân khiến cho mình tức giận. Dù gì những chuyện đó cũng không liên quan gì đến cuộc đời chúng ta sau này."
635,要尽量把我们 的时间和精力，留给我们深爱着的人和事。,Hãy dành trọn thời gian và sức lực của bản thân đành cho những người thân yêu nhất.
636,纠缠久了，你会烦，会痛，会厌， 会累，会神伤，会心碎。,"Nếu cứ kéo dài bạn sẽ thấy phiền, sẽ đau khổ, sẽ mệt mỏi, sẽ tổn thương và sẽ đau lòng."
636,实际上，到最后，你不是跟事过不去，而是跟自 己过不去。,Thực tế đến cuối cùng không phải bạn không thể bó qua cho sự việc mà là bạn không thể bỏ qua cho chính mình.
637,写 给 自己 的 第 637 封 信 遇到欣赏你的人，学会笑纳；遇到你欣赏的人，学会赞美。,"Bức thư viết cho chính mình số 637 Gặp người chê trách bạn phải biết cách chấp nhận cầu thị lắng nghe. Gặp người tán thưởng, bạn hãy khen ngợi lại họ."
638,写 给 自己 的 第 638 封 信 做人千万不要太敏感，想太多伤到的反而是自己，说者无心听者有 意，随随便便一句话，你都要想东想西琢磨来琢磨去不累吗？,"Bức thư viết cho chính mình số 638 Làm người đừng nhạy cảm quá vì nghĩ nhiều chỉ khiến bản thân tổn thương mà thôi. Người nói nhiều khi vô ý nhưng người nghe lại cố tình suy nghĩ. Chỉ là một câu nói vu vơ mà bạn nghĩ tới nghĩ lui, dày vò mình suốt, bạn không thấy mệt sao?"
