src_id,src_lang,tgt_lang
751,写 给 自己 的 第 751 封 信 爱情是灯，友情是影，当灯灭了，你会发现你的周围都是影子。朋 友，是在最后可以给你力量的人。 写 给 自己 的 第 751 封 信 爱情是灯，友情是影，当灯灭了，你会发现你的周围都是影子。朋 友，是在最后可以给你力量的人。,Bức thư viết cho chính mình số 751 Tình yêu là ánh đèn còn tình bạn là những chiếc bóng. Khi những ánh đèn đã tắt thì xung quanh bạn chỉ còn lại những chiếc bóng và bạn bè là những người cuối cùng có thể tiếp thêm sức mạnh cho bạn.
752,写 给 自己 的 第 752 封 信 为你的难过而快乐的是敌人，为你的快乐而快乐的是朋友，为你的难 过而难过的才是你的知己。 写 给 自己 的 第 752 封 信 为你的难过而快乐的是敌人，为你的快乐而快乐的是朋友，为你的难 过而难过的才是你的知己。,Bức thư viết cho chính mình số 752 Kẻ thù là những kẻ cười vui trên nỗi đau của bạn còn bạn bè là những người cùng bạn chia sẻ niềm vui. Những người đau buồn khi bạn không vui mới chính là tri ki
753,写 给 自己 的 第 753 封 信 再好的朋友，再亲近的人，也要给对方留下空间，不要什么事都去了 解，这样的友谊才能长久。 写 给 自己 的 第 753 封 信 再好的朋友，再亲近的人，也要给对方留下空间，不要什么事都去了 解，这样的友谊才能长久。,Bức thư viết cho chính mình số 753 Cho dù có là bạn tốt hay thân thiết như thế nào đi chăng nữa cũng cần để cho đối phương có một không gian riêng. Đừng tìm hiểu tất cả mọi chuyện của họ và có như vậy tình bạn mới có thể bền vững theo thời gian.
754,写 给 自己 的 第 754 封 信 真正的好朋友，并不是在一起就有聊不完的话题；而是在一起，就算 不说话，也不会感到尴尬。 写 给 自己 的 第 754 封 信 真正的好朋友，并不是在一起就有聊不完的话题；而是在一起，就算 不说话，也不会感到尴尬。,Bức thư viết cho chính mình số 754 Những người bạn thật sự không phải là vì chuyện quá nhỏ không muốn chia sẻ . vì sợ phiền hà mà là ngay cả chẳng có chuyện gì để nói cũng chia sẻ mà không cảm thấy ngượng ngùng khó xử.
755,写 给 自己 的 第 755 封 信 朋友是身边那份充实，是忍不住时刻想拨的号码，是深夜长坐的那杯 写 给 自己 的 第 755 封 信 朋友是身边那份充实，是忍不住时刻想拨的号码，是深夜长坐的那杯,"Bức thư viết cho chính mình số 755 Bạn bè là một phần đủ đầy kế bên, là con số mà khi không chịu nổi muốn đứt bỏ và là tất cả ánh sáng trong đêm đài tối tăm..."
756,写 给 自己 的 第 756 封 信 朋友不一定要门当户对，但一定要同舟共济；不一定要形影不离，但 一定要相惜；不一定要锦上添花，但一定要雪中送炭；不一定要天天 见面，但一定要放在心上。友情最可贵的不是曾一同走过的岁月，友情最 难得的是分别以后依然会时时想起。依然能记得，你，是我的朋友！ 写 给 自己 的 第 756 封 信 朋友不一定要门当户对，但一定要同舟共济；不一定要形影不离，但 一定要相惜；不一定要锦上添花，但一定要雪中送炭；不一定要天天 见面，但一定要放在心上。友情最可贵的不是曾一同走过的岁月，友情最 难得的是分别以后依然会时时想起。依然能记得，你，是我的朋友！,"Bức thư viết cho chính mình số 756 Tình bạn không nhất thiết phải môn đăng hộ đối nhưng nhất định phải cùng đứng chung một thuyền, không nhất thiết phải như hình với bóng không lời nhưng nhất định phải cùng chung chí hướng, không nhất định phải như hoa thêu trên gấm nhưng nhất định phải kịp thời giúp đỡ nhau trong lúc hoạn nạn, không nhất thiết mỗi ngày đều phải gặp mặt nhưng nhất định trong tim luôn có nhau. Điều quý giá nhất của tình bạn không phải là những năm tháng đã cùng nhau chung lối mà là cắm giác luôn nhớ nhung về nhau ngay cả khi đã xa cách: Cậu là bạn của tôi."
757,写 给 自己 的 第 757 封 信 在朋友交谈之间，不传坏话、不讲是非，便可促进双方的友谊。减少 是非是促进人际关系重要的一环，好话要多传，坏话一句也不传。 写 给 自己 的 第 757 封 信 在朋友交谈之间，不传坏话、不讲是非，便可促进双方的友谊。减少 是非是促进人际关系重要的一环，好话要多传，坏话一句也不传。,"Bức thư viết cho chính mình số 757 Đã là ban bè với nhau thi không nên nói xấu sau lưng, không bàn tán những điều thị phi. Bằng cách đó sẽ càng gắn kết tình cảm bạn bè. Đây là điều cực kì quan trọng trong việc phát triển các mối quan hệ. Những lời hay ý đẹp thì hãy nói còn những lời nói khó nghe thì một câu cũng đừng nói ra."
758,写 给 自己 的 第 758 封 信 友情的延续来自心灵，不论联系有多少，只要内心留有彼此的一片天 空，那么偶尔一声问候也会带来会心的一笑。 写 给 自己 的 第 758 封 信 友情的延续来自心灵，不论联系有多少，只要内心留有彼此的一片天 空，那么偶尔一声问候也会带来会心的一笑。,"Bức thư viết cho chính mình số 758 Sự bền vững của một tình bạn là do tâm hồn của mỗi người quyết định. Cho dù hai người liên lạc qua lại nhiều hay ít, chỉ cần trong tim mỗi người vẫn luôn có một khoảng trống dành cho người kia thì thỉnh thoảng một vài câu hỏi thăm cũng sẽ khiến bạn mỉm cười thấu hiểu và cảm thấy hạnh phúc."
759,写 给 自己 的 第 759 封 信 朋友就像片片拼图，结合后构成一幅美丽的图画，如果不见了一片， 就永远都不会完整，你，就是我不想遗失的那重要一片。 写 给 自己 的 第 759 封 信 朋友就像片片拼图，结合后构成一幅美丽的图画，如果不见了一片， 就永远都不会完整，你，就是我不想遗失的那重要一片。,"Bức thư viết cho chính mình số 759 Bạn bè cũng như những mảnh ghép hình, kết hợp lại với nhau sẽ tạo nên một bức tranh tuyệt đẹp. Nếu như thiếu đi một mảnh ghép thì bức tranh vĩnh viễn sẽ chẳng thể hoàn chỉnh. Bạn chính là miếng ghép quan trọng nhất mà chúng tôi không thể thiếu được."
761,写 给 自己 的 第 761 封 信 朋友宜多，冤家宜少。但朋友不可滥交，否则可能会引狼入室。 写 给 自己 的 第 761 封 信 朋友宜多，冤家宜少。但朋友不可滥交，否则可能会引狼入室。,Bức thư viết cho chính mình số 761 Càng có nhiều ban bè thì càng bớt đi kẻ thù nhưng không thể tùy tiện kết bạn được nếu không bạn sẽ thành nuôi ong tay áo.
762,写 给 自己 的 第 762 封 信 二十岁出头的时候，请把自己摆在二十岁出头的位置上。踏实地学 习，好好积累能力和锻炼心智。那些远大的目标，不管你如何幻想，都不 如当下多看一页书，多学一点东西，每天早起奋斗，来得实际 青春修炼手册 青春期的我们，脆弱和坚强都超乎自己的想象。有时，我们可能脆弱 得因一句话就泪流满面，有时，也发现自己咬着牙走了很长的路。 写 给 自己 的 第 762 封 信 二十岁出头的时候，请把自己摆在二十岁出头的位置上。踏实地学 习，好好积累能力和锻炼心智。那些远大的目标，不管你如何幻想，都不 如当下多看一页书，多学一点东西，每天早起奋斗，来得实际,"Bức thư viết cho chính mình số 762 Trong những năm tháng tuổi đôi mươi, xin hãy đặt bản thân mình vào vị trí của những người tuổi đôi mươi chăm chỉ học tập, tích cực tích lũy kiến thức và rèn luyện tâm trí để đạt nhữg mục tiêu hoài bão to lớn. Cho dù bạn có khát khao ảo tưởng đến thế nào cũng không bằng được việc đọc thêm một vài tram quyển sách trước mắt, học hỏi thêm một vài điều, mỗi ngày đều cố gắng phấn đấu thì cuộc sống mới trở nên thiết thực hơn."
764,写 给 自己 的 第 764 封 信 再好的人生也不可能只有喜悦没有疼痛，尤其是在年轻时，青涩的我 们总会遭遇各种的问题，体会各种苦辣酸甜。有时候我们会觉得这个世界 糟透了，恨不得一切就此消失，而其实，这只不过是命运给予我们的一些 考验，没人能够幸免。 写 给 自己 的 第 764 封 信 再好的人生也不可能只有喜悦没有疼痛，尤其是在年轻时，青涩的我 们总会遭遇各种的问题，体会各种苦辣酸甜。有时候我们会觉得这个世界 糟透了，恨不得一切就此消失，而其实，这只不过是命运给予我们的一些 考验，没人能够幸免。,"Bức thư viết cho chính mình số 764 Một cuộc đời có tốt đẹp đến thế nào đi chăng nữa cũng không thể chỉ có những niềm vui mà thiếu đi hình bóng của nỗi buồn. Đặc biệt là tuổi trẻ: Ở cái thuở còn non trẻ, chúng ta luôn gặp phải đủ các vấn đề đau đầu, nếm trải đủ hương vị đắng cay ngọt bùi của cuộc sống. Có lúc chúng ta tưởng chừng như thế giới này thật tồi tệ, hận rằng mọi thứ không biến mất luôn đi nhưng thực t đó chi là những thử thách khảo nghiệm và là cuộc sống dành cho chúng ta. Bạn hãy nhớ, chẳng có ai đủ may mắn tránh khỏi tất cả những điều ở trên."
765,写 给 自己 的 第 765 封 信 如果你不够聪明，你能做的就是足够努力和坚持。找到梦想的方法如 此简单：不断尝试，当有一个愿望能把你逼疯，它就是你真的想要的。青 春不会无限延长，它经不起辜负。只要努力生活，付出绝不会毫无意义。 写 给 自己 的 第 765 封 信 如果你不够聪明，你能做的就是足够努力和坚持。找到梦想的方法如 此简单：不断尝试，当有一个愿望能把你逼疯，它就是你真的想要的。青 春不会无限延长，它经不起辜负。只要努力生活，付出绝不会毫无意义。,"Bức thư viết cho chính mình số 765 Nếu như bạn không thông minh thì những g bạn có thể làm là phải đủ nỗ lực và kiên trì tìm cách để đạt được ước mơ. Đơn giản lắm: Không ngừng trải nghiệm. Khi một mong muốn nào đó bức ép bạn muốn phát điên thì đó chính là những gì bạn dang khao khát có được. Thanh xuân sẽ chẳng thể kéo dài mãi mãi, chúng ta không thể không xứng đáng với tuổi trẻ. Hãy luôn luôn cố gắng cho tốt và những hỉ sinh của bạn sẽ không trở nên vô ích."
766,写 给 自己 的 第 766 封 信 爱一个自己喜欢的人，做自己喜欢的事情，拥有自己想要的亲密关 系，向自己喜欢的方向前进着，对于我们，都是像呼吸一样重要的事情。 只是有些事情你一天不做，你就多一天生活在自己不想要的环境中。生命 很长，何时上路都来得及，只要是好的改变，什么时候都不嫌晚。 写 给 自己 的 第 766 封 信 爱一个自己喜欢的人，做自己喜欢的事情，拥有自己想要的亲密关 系，向自己喜欢的方向前进着，对于我们，都是像呼吸一样重要的事情。 只是有些事情你一天不做，你就多一天生活在自己不想要的环境中。生命 很长，何时上路都来得及，只要是好的改变，什么时候都不嫌晚。,"Bức thư viết cho chính mình số 766 Đối với tôi thì việc chúng ta yêu một người mà mình thích, làm một việc mình muốn, có được những mối quan hệ thân thiết của riêng mình, luôn tiến về mục tiêu mà mình mong muốn đều quan trọng như việc hít thở vậy. Chi là có một số chuyện, nếu như bạn chưa thực hiện được thì mỗi ngày lại trôi đi, bạn phải cảm nhận những ngày đó không như những gì bản thân mong muốn. Cuộc sống còn rất dài nên bất cứ lúc nào xuất phát cũng vẫn kịp. Chỉ cần đó là một sự thay đối tốt thì không bao giờ sợ muộn, bạn nhé."
767,写 给 自己 的 第 767 封 信 没人能真正理解你，石头没砸在他脚上，他永远体会不到有多疼。人 生路上，我们都是孤独的行者，如人饮水冷暖自知，真正能帮你的，永远 只有你自己。 写 给 自己 的 第 767 封 信 没人能真正理解你，石头没砸在他脚上，他永远体会不到有多疼。人 生路上，我们都是孤独的行者，如人饮水冷暖自知，真正能帮你的，永远 只有你自己。,"Bức thư viết cho chính mình số 767 Không có ai có thể thật sự thấu hiểu bạn. Hòn đá đó có đập vào chân bạn, người ngoài mãi mãi sẽ chẳng thể thấu hiểu bạn đau đớn đến nhường nào. Trên đường đời này, mỗi chúng ta là một kẻ độc hành. Người c6 thg thấu hiểu những gì bạn đã trải qua, có thể giúp đỡ được bạn chỉ có thg là chính bản thân bạn mà thôi."
768,写 给 自己 的 第 768 封 信 好好吃饭，好好睡觉，好好挣钱，好好花钱。不为不值得的人生气， 不为不值得的事失眠。既然活着就好好活着，每分钟都为自己活着。 写 给 自己 的 第 768 封 信 好好吃饭，好好睡觉，好好挣钱，好好花钱。不为不值得的人生气， 不为不值得的事失眠。既然活着就好好活着，每分钟都为自己活着。,"Bức thư viết cho chính mình số 768 Hãy tự ăn ngon ngủ say, tự kiếm tiền và tiêu tiền, đừng tức giận vì những người không xứng đáng và đừng mất ngủ vì những chuyện không đâu. Đã sống thi hãy sống cho thật tốt và mỗi giây mỗi phút đều phải sống cho bản thân mình."
769,写 给 自己 的 第 769 封 信 如果痛苦是杯苦酒，你要不动声色地把它喝下去；如果痛苦是道伤 疤，你要让它成为脸上的微笑。有些话，适合烂在心里；有些痛苦，适合 无声无息地忘记。 写 给 自己 的 第 769 封 信 如果痛苦是杯苦酒，你要不动声色地把它喝下去；如果痛苦是道伤 疤，你要让它成为脸上的微笑。有些话，适合烂在心里；有些痛苦，适合 无声无息地忘记。,Bức thư viết cho chính mình số 769 Nếu như đau khổ là một H rượu đẳng thì hãy ung dung chậm rãi mà uống hết nó. Nếu như đau khổ là một vết sẹo hãy biến nó thành nụ cười tươi trên môi. Có những lời nói chỉ thích hợp để nơi sâu kín trong lòng cũng như có những nỗi đau chỉ nên âm thầm mà quên đi.
770,写 给 自己 的 第 770 封 信 人生需要磨难，年轻时候的磨难是未来最宝贵的一笔财富。趁着年 轻，多经历一些风浪，多接受一些教训，多承担一些痛苦，这对于磨炼一 个人的意志和品格是深有好处的。 写 给 自己 的 第 770 封 信 人生需要磨难，年轻时候的磨难是未来最宝贵的一笔财富。趁着年 轻，多经历一些风浪，多接受一些教训，多承担一些痛苦，这对于磨炼一 个人的意志和品格是深有好处的。,Bức thư viết cho chính mình số 770 Cuộc sống cần có những khó khăn vấp ngã. Những cú vấp ngã ấy sẽ trở thành tài sản quý giá nhất của tuổi trẻ. Hãy tranh thủ lúc còn trẻ mà trải nghiệm. Càng nhiều sóng gió thu được thì càng nhiều bài học đáng quý. Nhiều khổ cực rất có ích cho việc rèn giũa ý chí và phẩm chất con người bạn.
771,写 给 自己 的 第 771 封 信 别哭穷，因为没人会给你钱；别喊累，因为没人会帮你做；别想哭， 因为大家不在乎；别认输，因为没人希望你赢；别靠人，因为只有自己最 可靠；别落魄，因为一堆人等着落井下石；别回首，因为看到的是未修复 的裂痕；别离愁，因为只会才下眉头却上心头；别低头，因为地上没有黄 金只有石头。 写 给 自己 的 第 771 封 信 别哭穷，因为没人会给你钱；别喊累，因为没人会帮你做；别想哭， 因为大家不在乎；别认输，因为没人希望你赢；别靠人，因为只有自己最 可靠；别落魄，因为一堆人等着落井下石；别回首，因为看到的是未修复 的裂痕；别离愁，因为只会才下眉头却上心头；别低头，因为地上没有黄 金只有石头。,Bức thư viết cho chính mình số 771 Đừng khóc vì bạn nghèo bởi sẽ chẳng ai có thể góp ý kiến cho bạn. Đừng kêu gào vì mệt mỏi hởi sẽ chẳng c6 ai giúp bạn làm việc. Đừng muốn khóc vi sẽ chẳng có ai để ý đâu. Đừng tự nhận thua bởi chẳng ai muốn bạn thắng. Đừng dựa dẫm vào người khác bởi chỉ có bản thân là đáng tin cậy. Đừng nản lòng bởi có cả một đám người đang chờ đợi cơ hội dậu d6 bìm leo. Đừng quay dau lại bởi những gì bạn thấy. Đừng đau buồn vi phải chia li bởi điều d6 sẽ khiến bạn cảm thấy cực ki u sầu. Đừng mải cúi đầu bởi dưới mặt đất chi có đất đá và không có vàng bạc đâu.
772,写 给 自己 的 第 772 封 信 过去的人，有他们出现的意义，但不要太过念念不忘。过去的人有过 去的好，但最好的，都是你身边的那个。 写 给 自己 的 第 772 封 信 过去的人，有他们出现的意义，但不要太过念念不忘。过去的人有过 去的好，但最好的，都是你身边的那个。,Bức thư viết cho chính mình số 772 Sự xuất hiện của những người đã từng lướt qua cuộc đời ta đều có ý nghĩa nhưng đừng nhớ mãi không quên về họ. Những người đã đi qua đương nhiên có cái tốt của họ nhưng những người tốt nhất là những người đang ở bên bạn.
773,写 给 自己 的 第 773 封 信 如果你不快乐，那就出去走走，世界这么大。风景很美、机会很多、 人生很短，不要蜷缩在一处阴影中。 写 给 自己 的 第 773 封 信 如果你不快乐，那就出去走走，世界这么大。风景很美、机会很多、 人生很短，不要蜷缩在一处阴影中。,"Bức thư viết cho chính mình số 773 Nếu như bạn cảm thấy không vui, hãy ra ngoài đi lại cho thoải mái. Thế giới này rộng lớn như vậy, phong cảnh xinh đẹp thế kia, cơ hội dành cho bạn còn rất nhiều mà cuộc đời thì ngắn lắm, dừng để bản thân quanh quấn mãi trong một góc tối."
774,写 给 自己 的 第 774 封 信 有时候，你选择与某人保持距离，不是因为不在乎，而是因为你清楚 地知道：别幻想了，他不属于自己。每个人心中都有一座城，住着一个不 可能的人，那个人路过了青春一阵子，却会在记忆里搁浅一辈子。 写 给 自己 的 第 774 封 信 有时候，你选择与某人保持距离，不是因为不在乎，而是因为你清楚 地知道：别幻想了，他不属于自己。每个人心中都有一座城，住着一个不 可能的人，那个人路过了青春一阵子，却会在记忆里搁浅一辈子。,"Bức thư viết cho chính mình số 774 Có những lúc bạn lựa chọn giữ khoảng cách với một ai đó không phải vì bạn không quan tâm đến người ta mà là bởi bạn viết ra một điều rằng: Đừng hoang tưởng nữa, anh ấy không thuộc về bạn. Trong trái tim mỗi người đều có một bức tường thành gửi hình bóng một người không c6 hi vong trai qua một quãng thanh xuân nhưng người đó lại mắc kẹt mãi trong kí ức cả một đời."
775,写 给 自己 的 第 775 封 信 生活只有两种选择：重新出发，做自己生命的主角；抑或是停留在原 地，做别人的配角。 写 给 自己 的 第 775 封 信 生活只有两种选择：重新出发，做自己生命的主角；抑或是停留在原 地，做别人的配角。,Bức thư viết cho chính mình số 775 Cuộc sống này chi có hai sự lựa chọn: Hoặc xuất phát lại từ đầu làm vai chính trong cuộc sống của chính mình hoặc mãi dậm chân tại chỗ và vĩnh viễn làm vai phụ cho cuộc đời của người khác.
776,写 给 自己 的 第 776 封 信 踏实一些，不要着急，你想要的，岁月都会给你，无须匆忙，该来的 总会来，在对的时间，和对的人，因为对的理由。 写 给 自己 的 第 776 封 信 踏实一些，不要着急，你想要的，岁月都会给你，无须匆忙，该来的 总会来，在对的时间，和对的人，因为对的理由。,"Bức thư viết cho chính mình số 776 Hãy sống chậm lại một chút và không cần phải quá nóng vội với những gì bạn muốn. Thời gian sẽ tự mang đến cho bạn và không việc gì phải vội vàng. Vào một thời điểm thích hợp, với những người phù hợp và bằng những lí do thích đáng, những gì nên đến ắt sẽ phải đến."
777,写 给 自己 的 第 777 封 信 人一辈子，无论走了多少路，终归只有一条路，却分无数路段。平坦 的路段，心里多是美好；坎坷的路段，心里多是晦暗。你该明白，无论哪 个路段，总有过去的时候。 写 给 自己 的 第 777 封 信 人一辈子，无论走了多少路，终归只有一条路，却分无数路段。平坦 的路段，心里多是美好；坎坷的路段，心里多是晦暗。你该明白，无论哪 个路段，总有过去的时候。,"Bức thư viết cho chính mình số 777 Đời người dù cho có đi qua bao nhiêu con đường thì suy cho cùng cũng chỉ có một con đường duy nhất. Nhưng nó lại được phân thành v6 số những đoạn đường ngắn không bằng phẳng. Ở những đoạn bằng phẳng, trong lòng ta biết bao vui mừng; bước đi trên những đoạn đường gập ghềnh trắc trở, trong lòng có biết bao phiền muộn. Bạn sẽ hiểu ra một điều là bạn đã có một thời vượt qua được tất cả."
