src_id,src_lang,tgt_lang
5816,所以我开始帮助他们，不是做日常的运输，而是帮助他们理解如何量化他们需要多少药物,"Vì vậy, tôi đã bắt đầu giúp đỡ với việc đó, không phải là công việc vận chuyển hàng ngày, mà là giúp họ hiểu cách định lượng số lượng thuốc họ cần"
5817,当时我们给予的所有药物都是单独的药物，剂量不同，所以不像一天一次吃一粒药那样简单。,"Tất cả các loại thuốc mà chúng tôi đang dùng vào thời điểm đó đều là các loại thuốc riêng lẻ, với liều lượng khác nhau, vì vậy nó không đơn giản như một viên thuốc một lần mỗi ngày."
5818,因此，为了帮助他们理解如何提供完整的治疗方案和计划，我做了几年，主要是在这种类型的,"và do đó, để giúp họ hiểu cách cung cấp một chế độ điều trị hoàn chỉnh và kế hoạch cho điều đó, tôi đã làm điều đó trong vài năm, chủ yếu chỉ một lần nữa về loại"
5819,扩大容量，但我在制定培训计划时，不断遇到一些反复出现的临床问题。,"Mở rộng năng lực, nhưng khi tôi làm việc trên các chương trình đào tạo, tôi liên tục nhận được những câu hỏi lâm sàng được đặt ra lặp đi lặp lại."
5820,其中一个特别的问题是，对于接受逆转录病毒治疗的患者，我能使用什么类型的避孕方法，因为,và một trong số những điều đó đặc biệt là loại thuốc tránh thai nào tôi có thể sử dụng cho bệnh nhân đang điều trị bằng liệu pháp kháng retrovirus bởi vì có
5821,存在大量的药物相互作用，而且大多数与艾滋病毒相关的研究是在美国或欧洲进行的，,"Có rất nhiều tương tác thuốc và hầu hết các nghiên cứu đã được thực hiện liên quan đến HIV được thực hiện ở Hoa Kỳ hoặc châu Âu, nơi"
5822,当时的艾滋病流行病主要影响男性，而且当时的临床试验中女性参与者很少。,"Dịch bệnh HIV, đặc biệt là vào thời điểm đó, chủ yếu ảnh hưởng đến nam giới và có rất ít phụ nữ được đưa vào các thử nghiệm lâm sàng."
5823,关于如何管理女性健康问题的信息并不多，所以这成了我需要自己解决的事情之一。,"Không có nhiều thông tin về cách quản lý các vấn đề sức khỏe của phụ nữ, vì vậy đó là một trong những điều mà tôi phải tự mình giải quyết."
5824,我只是没有一个好的答案来告诉他们关于哪种有效的避孕方法，比如我可以提供的激素避孕方法,"Tôi chỉ không có một câu trả lời tốt cho họ về loại biện pháp tránh thai hiệu quả, chẳng hạn như biện pháp tránh thai nội tiết tố mà tôi có thể cung cấp cho họ"
5825,除了使用安全套之外，撒哈拉以南非洲的女性并不总是能够强制使用安全套。,"Ngoài việc sử dụng bao cao su, phụ nữ ở châu Phi hạ Sahara không phải lúc nào cũng có khả năng áp dụng chúng."
5826,在一个关系中，所以那个问题确实是我会问的原因。,trong một mối quan hệ để câu hỏi thực sự là điều đã dẫn tôi đến
5827,我想追求我的下一个激情，那就是研究，而且我确信如果没有那些经历，我不会想到这一点,"Tôi muốn theo đuổi đam mê tiếp theo của mình, đó là nghiên cứu, và tôi nghĩ rằng tôi sẽ không nghĩ ra điều này nếu tôi không có những trải nghiệm đó"
5828,在临床环境中回答这些问题，所以我只准备了几张幻灯片，我会在以后保存更多关于它的详细信息。,"trong các thiết lập lâm sàng trả lời những câu hỏi đó, vì vậy tôi chỉ có một vài slide về nó, tôi sẽ lưu thêm chi tiết về nó cho một lần khác."
5829,演示，但嗯，我们做的第一项研究是观察留置型避孕植入物，所以这是一个植入物，它,"trình bày, nhưng ờ, nghiên cứu đầu tiên chúng tôi thực hiện là xem xét việc để lại một thiết bị cấy ghép tránh thai dạng gestagen, vì vậy đó là một thiết bị cấy ghép, nó"
5830,它被放置在手臂内侧的皮下，旨在使用五年。,"Nó được đặt dưới da ở mặt trong của cánh tay, dự định sử dụng trong năm năm."
5831,但它可以随时移除，以便恢复生育能力，而且这种植入物正在全球范围内推广，它有点像,"nhưng nó có thể được gỡ bỏ bất cứ lúc nào để cho phép hồi phục khả năng sinh sản và cấy ghép được triển khai trên toàn cầu, nó giống như"
5832,与 PEPFAR 项目同时进行的是一项旨在增加全球避孕选择获取途径的项目，因此他们正在推广这种植入物。,"Song song với chương trình PEPFAR, có một chương trình nhằm tăng cường tiếp cận các lựa chọn tránh thai trên toàn thế giới, do đó họ đã triển khai loại cấy ghép này."
5833,与此同时，我们正在推广这种艾滋病毒药物，如果你看说明书，上面写着不要混合使用，但实际上每个人都在混合使用。,"Cùng lúc đó, chúng tôi đang tung ra loại thuốc này cho HIV, và nếu bạn xem tờ hướng dẫn sử dụng, nó nói rằng không được kết hợp chúng, nhưng mọi người vẫn kết hợp chúng"
5834,因为基本上没有其他选择，所以我们决定进行一项简单的 PK 研究，其中包含这些,"bởi vì về cơ bản không có lựa chọn nào khác, vì vậy chúng tôi đã quyết định thực hiện một nghiên cứu PK dễ dàng, trong đó những cái này"
5835,那些已经接受抗逆转录病毒治疗联合植入物的女性，我们会定期检查药物浓度。,Những phụ nữ đã được điều trị bằng liệu pháp kháng retrovirus kết hợp với cấy ghép này và chúng tôi chỉ cần kiểm tra nồng độ thuốc theo định kỳ.
5836,他们一直在研究，想看看他们在什么点位会低于我们认为有效的避孕阈值,trong khi họ đang theo dõi để xem điểm nào họ giảm xuống dưới ngưỡng mà chúng tôi cho là hiệu quả đối với việc tránh thai
5837,因为它使用了五年，所以它一开始很高，然后逐渐下降，所以我们认为它可能在头一两年不错，但可能不适合整个五年。,"Bởi vì nó đã được sử dụng trong năm năm nên nó bắt đầu khá cao và sau đó giảm dần, vì vậy chúng tôi nghĩ rằng nó có thể tốt trong một hoặc hai năm đầu tiên, nhưng có thể không tốt trong toàn bộ năm năm."
5838,简而言之，我们每组招募了大约 20 人，这些数据线看起来可能非常相似，但这只是一年的时间。,"Nói ngắn gọn, chúng tôi đã ghi danh khoảng 20 người mỗi nhóm, những dòng này có thể trông rất giống nhau, nhưng đây là một khoảng thời gian một năm."
5839,因此，植入后，您会看到浓度迅速增加，因此它非常快地起作用，提供避孕效果。,"Và do đó, khi cấy ghép, bạn sẽ thấy nồng độ tăng lên khá nhanh, vì vậy nó hoạt động rất nhanh để cung cấp biện pháp tránh thai."
5840,然后它随着时间的推移逐渐稳定下来，所以红线是你期望的浓度曲线。 这些是没有任何药物相互作用的人，所以这些是感染了艾滋病毒的女性。,"Rồi nó dần ổn định theo thời gian, vì vậy đường màu đỏ là những gì bạn mong đợi nồng độ sẽ như thế nào. Vì vậy, đây là những người không có tương tác thuốc, đây là những phụ nữ sống chung với HIV."
5841,当时尚未符合抗逆转录病毒治疗的条件，然后是橙色的线，明显更低。,"lúc đó chưa đủ điều kiện để điều trị bằng thuốc kháng retrovirus và sau đó là đường màu cam, thấp hơn đáng kể"
5842,女性是否接受了基于优待的抗逆转录病毒治疗，这种药物以加速某些药物的代谢而闻名？,"Phụ nữ có được điều trị kháng retrovirus ưu tiên, một loại thuốc được biết đến là làm tăng tốc độ chuyển hóa của một số loại thuốc không?"
5843,我们在这里清楚地看到正在发生的药物，因此我们看到离开手势暴露量的减少约为 50%,"Các loại thuốc mà chúng ta thấy rõ ràng đang xảy ra ở đây, vì vậy chúng ta đã thấy sự giảm khoảng 50% trong việc rời khỏi tiếp xúc cử chỉ."
5844,第一年，但如果你看看我们认为我们理解或认为我们知道的关于有效性阈值的,"năm đầu tiên, nhưng nếu bạn nhìn vào những gì chúng tôi nghĩ rằng chúng tôi hiểu hoặc nghĩ rằng chúng tôi biết về ngưỡng hiệu quả của"
5845,避孕药，嗯，它已经被引用了很长时间，说浓度是每毫升180皮克克，所以你知道我们的,biện pháp tránh thai ừm nó đã được trích dẫn tốt trong một thời gian rất dài rằng nồng độ đó là 180 picogram mỗi ml vì vậy bạn biết của chúng tôi
5846,浓度高于那个，所以理论上我们认为这可能没问题，然而在我们 20 个 efavarians 组中，我们观察到 3 个,"Nồng độ cao hơn mức đó, vì vậy về mặt lý thuyết, chúng tôi nghĩ rằng điều này có thể ổn. Tuy nhiên, trong số 20 cá nhân trong nhóm efavarians của chúng tôi, chúng tôi đã quan sát thấy 3 cá nhân"
5847,怀孕次数在使用后的第一年里超过了，如果你曾经做过避孕研究，这不是你应该做的事情。,"mang thai vượt quá năm đầu tiên sử dụng, điều này nếu bạn từng thực hiện nghiên cứu kiểm soát sinh sản, thì đó không phải là điều bạn nên làm."
5848,我想打电话咨询一下，但其中一位参与者怀孕了。不过，你知道，说实话，这些人对此都很坦然，他们没事。,"Tôi muốn gọi điện thoại để hỏi về… nhưng một trong những người tham gia của bạn đã mang thai. Tuy nhiên, bạn biết đấy, thành thật mà nói, những người liên quan đều ổn, họ không sao."
