src_id,src_lang,tgt_lang
4653,我认为这将是主要的事情。,Tôi nghĩ rằng đó sẽ là điều chính.
4653,我认为，同意某人所说，应该选择HSV-1血清阳性且携带APOE4等位基因的人。,"Tôi nghĩ, đồng ý với người nào đó nói rằng nên chọn những người dương tính với HSV-1 và những người cũng mang alen APOE4."
4654,史蒂文·雅各布森：但是马克，我可以提个建议吗？,"Nhưng Mack, tôi có thể đưa ra một đề xuất được không?"
4655,对我来说，这不是一个试验设计。,"Đối với tôi, đó không phải là một thiết kế thử nghiệm."
4655,关键不在于它是否有效，而是如果它无效，你会怎么做？,"Vấn đề không phải là nó có hiệu quả hay không. Câu hỏi là, bạn sẽ làm gì nếu nó không hiệu quả?"
4656,我会说，这不是你想要做的。,Tôi sẽ nói rằng đó không phải là điều bạn muốn làm.
4656,如果他进行了一项大型试验，但没有成功，你会说病原体假设是错误的吗？,"Nếu anh ấy đã thực hiện một thử nghiệm lớn và nó không hiệu quả, bạn có nói rằng giả thuyết mầm bệnh là sai không?"
4656,你是否会抛弃这个假设？,Bạn có loại bỏ giả thuyết này không?
4657,史蒂文·雅各布森：如果你做了一个抗病毒药，他们好转了，,"Steven Jacobson: Nếu bạn đã sử dụng thuốc kháng virus, và họ khỏe hơn,"
4658,你怎么做试验设计呢？,Làm sao bạn thiết kế thử nghiệm?
4658,但如果你没有找到，这就是我们遇到的问题，一团糟。,"Nhưng nếu bạn không tìm thấy, đó là vấn đề mà chúng ta đang gặp phải, một mớ hỗn độn."
4658,它们不会恶化，也不会发展成痴呆症或阿尔茨海默病，当然你找到了。,"Chúng không trở nên tồi tệ hơn, chúng không tiến triển thành chứng mất trí nhớ hoặc bệnh Alzheimer, chắc chắn bạn đã tìm thấy nó."
4659,无论哪个假设成立，零假设确实有效，我们会说，是的，你确实发现了一些东西，或者你实际上没有发现任何东西。,"Bất kể giả thuyết nào đúng, giả thuyết null thực sự có tác dụng, chúng tôi sẽ nói, vâng, bạn thực sự đã tìm thấy điều gì đó hoặc bạn thực sự không tìm thấy gì."
4661,弗雷德·沃林斯基：史蒂夫，我能说点什么吗？,"Fred Volinsky: Tôi có thể nói gì đó không, Steve?"
4661,史蒂文·雅各布森：可以。,Steven Jacobson: Được.
4661,弗雷德·沃林斯基：你可以用那个论点。,Fred Volinsky: Anh có thể dùng lập luận đó.
4663,其他所有人都在讨论事情，,"Mọi người khác đều thảo luận về những điều,"
4664,在这方面，没有人比Tanzi博士了解得更多，这并非我的评论。,"Không ai hiểu rõ về chủ đề này hơn Tiến sĩ Tanzi, và đó không phải là nhận xét của tôi."
4665,但我的评论更多地是作为一个前急诊医生，只是在必须包含信息时进行逻辑上的决策。我想说的第一件事是，,"Nhưng bình luận của tôi chủ yếu là từ góc nhìn của một bác sĩ cấp cứu cũ, và chỉ đơn giản là đưa ra quyết định logic khi bạn phải đưa thông tin vào. Điều đầu tiên tôi muốn nói,"
4666,因此，外科医生要求每年至少进行 8 次开放性 RPL 手术，或者三年内进行 24 次。嗯，外科医生模板，嗯，我们说至少要修改模板，但实际上它取决于,"Vì vậy, yêu cầu đối với bác sĩ phẫu thuật là ít nhất tám ca RPL mở trong một năm hoặc 24 trong ba năm. Ờ, mẫu của bác sĩ phẫu thuật, ờ, chúng tôi nói ít nhất là mẫu được sửa đổi, nhưng thực sự nó là ờ"
4667,对于外科医生来说，在选择手术模板时，需要拍下与S1011试验一样的术中照片，以确保质量控制。,"Đối với bác sĩ phẫu thuật, về việc lựa chọn mẫu, những bức ảnh trong quá trình phẫu thuật phải được chụp, giống như trong thử nghiệm suag s1011, chỉ để đảm bảo rằng chúng ta có một số kiểm soát chất lượng."
4668,因为不想引入另一个变量，所以手术都是开放式的，因为这是一个非常严格的统计数据。,"Tất cả các ca phẫu thuật đều được thực hiện mở, lý do là chúng tôi không muốn thêm một biến khác. Đây là một vấn đề thống kê rất chặt chẽ."
4670,但是这里有一些是高容量的，比如你可以在这里看到，很明显是美国和印第安纳大学，但许多人对试验做出了贡献，你可以看到累积的数量。,"nhưng có một số người đã đóng góp rất nhiều, như bạn có thể thấy ở đây, rõ ràng là Hoa Kỳ và Đại học Indiana, nhưng nhiều người đã đóng góp cho thử nghiệm và bạn có thể thấy số lượng tích lũy."
4672,嗯，试验很成功，所以结果很好，我的意思是，我们都是泌尿科医生，我们喜欢做手术，所以有一个涉及手术的临床试验很好，这里有一些基本特征,"À, thành công cho thử nghiệm, nên nó đã là, nó đã tuyệt vời. Ý tôi là, tất cả chúng ta đều là bác sĩ tiết niệu, chúng ta thích phẫu thuật. Vì vậy, thật tốt khi có một thử nghiệm lâm sàng liên quan đến phẫu thuật. Đây là một số đặc điểm cơ bản"
4673,该患者重要的是，嗯，25岁时患有1期疾病，然后复发，然后，嗯，其中75%在首次诊断时为2期a或b，中位随访时间为24个月，但显然我们,"Bệnh nhân quan trọng, ờ, 25 tuổi, đã ở giai đoạn 1, sau đó tái phát, và sau đó, ờ, 75% trong số họ ở giai đoạn 2a hoặc 2b khi được chẩn đoán ban đầu, và theo dõi trung vị là 24 tháng, nhưng rõ ràng là chúng tôi"
4674,对于那些距离上次随访时间较远的患者，为了稿件，我将对所有患者进行至少 24 个月的随访，因此，没有变化。,"Đối với những bệnh nhân đã lâu không tái khám, để viết bản thảo, tôi sẽ theo dõi tối thiểu 24 tháng cho tất cả bệnh nhân, vì vậy, không có gì thay đổi."
4675,稍后，患者将接受腹膜外正中线 RPL 手术，确实，住院时间为一天，在我们这里（USC），这是典型的疤痕，当然，并非所有疤痕都一样。,"Một lúc sau, bệnh nhân sẽ trải qua một cuộc phẫu thuật RPL trung tuyến ngoại phúc mạc, thực sự, thời gian nằm viện là một ngày, tại USC của chúng tôi, và đây là vết sẹo điển hình, tất nhiên, không phải tất cả chúng đều như vậy."
4676,但这是一种神经保留技术，你知道的，很明显，但我会稍后在讨论手术技术时向你展示，嗯，嗯，技术，但总的来说,"nhưng đây là một kỹ thuật bảo tồn dây thần kinh, bạn biết đấy, rõ ràng, nhưng tôi sẽ chỉ cho bạn kỹ thuật, ờ, ờ, sau một chút, khi chúng ta nói về kỹ thuật phẫu thuật, nhưng nhìn chung"
4677,复发率为 20%，中位复发时间为 8 个月，因此这些事件发生在随访的早期，两年无复发生存率为 84%。,"Tỷ lệ tái phát là 20%, với thời gian trung bình đến tái phát là tám tháng. Vì vậy, những sự kiện này xảy ra sớm trong quá trình theo dõi, và tỷ lệ sống sót không tái phát hai năm là 84%."
4678,这是二次治疗的细分：9名患者接受了化疗，其中7人接受了BEP方案三次，1人接受了EP方案四次，1名患者接受了卡铂紫杉醇，2人,"9 bệnh nhân đã được hóa trị, trong đó 7 bệnh nhân được điều trị theo phác đồ BEP ba lần, 1 bệnh nhân được điều trị theo phác đồ EP bốn lần, 1 bệnh nhân được điều trị bằng carboplatin và paclitaxel và 2"
4679,患者反复出现 RPL 指标，其中一位患者在三年半后出现了复发，进展非常缓慢，我当时认为是惰性肿瘤。,"Bệnh nhân đã có chỉ số RPL lặp lại, một trong số họ đã bị tái phát sau ba năm rưỡi, với tốc độ rất chậm và ủ bệnh, và tôi đã nghĩ ..."
4681,患者不进行任何辅助治疗，因为这个的重点是手术作为唯一的治愈方式，所以这里有一些并发症,"Bệnh nhân không được điều trị bổ trợ vì mục đích chính của điều này là phẫu thuật là phương thức điều trị duy nhất, vì vậy đây là các biến chứng đã có"
4682,呃，五个短期并发症，呃，对不起，七个短期并发症，其中五个是锁骨下静脉穿刺术，一个是二型糖尿病，您可以看到这些都是很小的并发症，其中一个,"à, năm biến chứng ngắn hạn, à, xin lỗi, bảy biến chứng ngắn hạn, trong đó năm biến chứng là do chọc tĩnh mạch dưới đòn, một biến chứng là tiểu đường type 2, bạn có thể thấy những biến chứng này rất nhỏ, một trong số đó"
4684,你知道，在外科手术试验中，并不是所有的事情都是一帆风顺的，总是会有外科手术并发症，但幸运的是，长期并发症没有出现，这意味着,"Bạn biết đấy, trong một thử nghiệm phẫu thuật, không phải lúc nào cũng dễ dàng. Sẽ luôn có những biến chứng phẫu thuật, nhưng may mắn là, những biến chứng lâu dài là không có, có nghĩa là"
4685,嗯，幸运的是，所有接受神经保留技术的患者都出现了逆行射精，没有疝气，没有胃肠道症状或其他任何症状。,"À, may mắn là, xuất tinh tích hợp và tất cả các bệnh nhân trải qua kỹ thuật bảo tồn dây thần kinh đều xuất tinh ngược dòng mà không có thoát vị, không có triệu chứng tiêu hóa hoặc bất kỳ vấn đề nào khác được phát hiện."
4686,到目前为止，短期来说效果很好，长期来说也不错，总之，我们认为 S.E.M.S. 试验确实将 RPL India 建立为,"Cho đến nay, trong ngắn hạn, mọi thứ đều tốt, và về lâu dài, nó cũng không quá tệ. Vì vậy, kết luận, chúng tôi nghĩ rằng thử nghiệm SEMS thực sự thiết lập RPL Ấn Độ như"
4688,85% 的总生存率显然是 100%，因此它是一个有吸引力的选择，如果你认为它是下一阶段的第三阶段，很难进行第三阶段的试验，你不能真正比较。,"Tỷ lệ sống sót tổng thể 85% rõ ràng là 100%, vì vậy đây là một lựa chọn hấp dẫn. Rất khó để thực hiện thử nghiệm giai đoạn 3 nếu bạn nghĩ rằng bạn biết đó là bước tiếp theo của giai đoạn 3, bạn không thể thực sự so sánh."
4689,对于这种使用放射治疗或化疗的模式，您需要等待几十年才能看到并发症发生率的差异，显然，化疗在无复发生存方面会超过手术,"Với phương thức điều trị này bằng xạ trị hoặc hóa trị, bạn sẽ phải đợi hàng thập kỷ để thấy sự khác biệt về tỷ lệ biến chứng. Rõ ràng, hóa trị sẽ vượt trội hơn phẫu thuật về tỷ lệ sống không tái phát."
4690,有一个类似的兄弟试验或姐妹试验，我的好同事，德国的彼得·阿尔伯斯正在进行一项名为PRIME-TEST的试验，非常相似。,"Có một loại thử nghiệm anh em hoặc chị em tương tự như thử nghiệm SAMS. Đồng nghiệp tốt của tôi ở Đức, Peter Albers, đang tiến hành một thử nghiệm gọi là PRIME-TEST, rất giống nhau."
4691,他正在观察，你可以看到其中的差异。,"Anh ấy đang theo dõi, bạn có thể thấy sự khác biệt."
4691,他仍在收集他的试验数据，最近他刚刚……,"Anh ấy vẫn đang thu thập dữ liệu cho thử nghiệm của mình, gần đây anh ấy mới..."
4691,基本上，我们关注的是生活质量、并发症发生率以及类似的事情。,"Về cơ bản, chúng ta đang xem xét chất lượng cuộc sống, tỷ lệ biến chứng và những thứ tương tự."
