src_id,src_lang,tgt_lang
501,写 给 自己 的 第 501 封 信 懂得让步的人是聪明的，这是把决定事态走向的主动权握在了自己手 上。,"Bức thư viết cho chính mình số 501 Người thông minh là người biết lùi bước, điều này khiến bạn nắm được quyền chủ động quyết định hướng đi của sự việc trong tay."
502,拥有这些不是为了成为女汉子，而是为了搭建平等 的基础。,Có được những thứ này không phải để biến thành người đàn bà sắt mà để có cơ sở để tạo nên sự bình đẳng.
503,写 给 自己 的 第 503 封 信 感情就是这样，没有失去你不会成熟，生活也是这样，没有遇到点险 恶，你不会长大。,"Bức thư viết cho chính mình số 503 Tình cảm là như vậy đó, không đánh mất thì không thế trưởng thành. Cuộc sống cũng vậy, nếu bạn không gặp chút nguy hiểm nào thì không thể lớn lên."
503,你想要的，老天不一定会给你，你只有努力去争取，别 辜负爱你的人，别辜负你自己。,"Thứ bạn muốn, ông trời chưa chắc đã cho bạn. Bạn chỉ có thể cố gắng mà giành lấy, đừng phụ những người yêu bạn và cũng đừng phụ chính bản thân mình, bạn nhé."
504,写 给 自己 的 第 504 封 信 能打动我的从来不是花言巧语，而是恰到好处的温柔以及真挚的内心。,Bức thư viết cho chính mình số 504 Thứ thực sự lay động trái tìm em không phải là những lời nói đường mật mà là sự quan tâm đúng mực và trái tim chân thành của anh.
505,写 给 自己 的 第 505 封 信 这世上最难堪的事不是他不爱你，而是他说很爱很爱你，最后却轻易 地放弃了你。,Bức thư viết cho chính mình số 505 Điều tồi tệ nhất trên đời không phải anh ấy không yêu bạn mà là anh ấy nói yêu bạn rất nhiều rất nhiều nhưng đến cuối cùng lại dễ dàng buông tay bạn chỉ trong một nốt nhạc.
508,写 给 自己 的 第 508 封 信 应该去喜欢能让你觉得自己很美好，由衷感受到温暖的人。而不是让 你低到尘埃里，觉得自己很没用的人。,"Bức thư viết cho chính mình số 508 Nên yêu người khiến bạn cảm thấy mình rất tốt đẹp và cảm thấy ấm áp từ tận đáy lòng chứ không phải người đẩy bạn xuống vũng bùn nhơ nhớp, khiến bạn cảm thấy bản thân thật vô dụng và ngu sỉ."
509,写 给 自己 的 第 509 封 信 你走不进那个人的心里，不一定是你不够努力，而是那个人也不断在 加固心里的那堵墙。,Bức thư viết cho chính mình số 509 Bạn không thế tiến vào trái tỉm một người nhiều khi không phải do bạn không cố gắng mà do người kia không ngừng gia cố bức tường bảo vệ trong trái tìm họ.
510,写 给 自己 的 第 510 封 信 所谓爱，就是当感觉、热情、浪漫统统拿掉之后，你仍然珍惜对方。,"Bức thư viết cho chính mình số 510 Tình yêu là khi mất đi tất cả cảm giác, sự nhiệt tình và lãng mạn mà bạn vẫn còn nguyên sự trân trọng đối phương."
511,写 给 自己 的 第 511 封 信 有时候你放不下一个人，不是因为那个人无可替代，而是因为你在那 个人身上花费了太多的时间精力，一旦分开，就好像自己用时间和青春细 心堆砌的城堡轰然倒塌。,"Bức thư viết cho chính mình số 511 Gó lúc bạn không thể buông một người không phái vì không ai có thể thay thế người ấy mà vì bạn đã tốn rất nhiều thời gian và công sức vì người ấy, một khi chia tay nó giống như bản thân dùng thời gian và thanh xuân xây đắp nên tòa thành hùng vĩ nhưng vốn dĩ đã đổ nát mục rỗng từ bên trong."
512,写 给 自己 的 第 512 封 信 伸手需要一瞬间，牵手却要很多年，无论你遇见谁，他都是你生命该 出现的人，绝非偶然。,"Bức thư viết cho chính mình số 512 Giơ tay chỉ cần một nháy mất nhưng nắm tay lại cần rất nhiều thời gian. Cho dù bạn gặp ai, anh ấy đều là người phải xuất hiện trong cuộc đời bạn theo tính toán chứ - không phải ngẫu nhiên."
515,写 给 自己 的 第 515 封 信 当一个人忽略你时，不要伤心，每个人都有自己的生活，谁都不可能 一直陪你。,Bức thư viết cho chính mình số 515 Khi một người bỏ lơ bạn thì đừng đau buồn vì mỗi người đều có cuộc sống riêng của mình.
515,其实你明明知道，最卑 贱不过感情，最凉不过是人心。,Thực ra bạn hiểu rõ tình cảm là thứ đê tiện nhất còn lòng người là thứ nguội lạnh nhất.
515,不要对一个人太好，因为你终会发现，这样时间久了，那个人 是会习惯的，然后把你做的一切看作是理所应当。,Không ai có thể ở bên bạn mãi cả. Đừng đối xử quá tốt với một người nào đó bởi thời gian qua đi bạn sẽ nhận ra rằng anh ta sẽ quen với điều đó và coi những gì bạn làm cho anh ta là đương nhiên.
516,写 给 自己 的 第 516 封 信 有多少人故意赌气关掉手机，忍不住打开后，发现什么也没有。,Bức thư viết cho chính mình số 516 Có rất nhiều người tức lên thì tắt điện thoại đi để rồi đến lúc không chịu được nữa mở ra xem mới phát hiện ra không có gì hết.
516,自作 多情以为自己在他心里有多重要，到最后才发现自己原来是个笑话。别再 傻了，人家不在乎你。,Bạn tự đa tỉnh cho rằng mình rất quan trọng trong trái tỉm anh ấy thì đến cuối cùng ắt sẽ biết mình chỉ là một trò cười. Đừng có ngốc nữa vì người ta không quan tâm đến bạn đâu.
518,写 给 自己 的 第 518 封 信 我在等那么一天，当我足够优秀足够勇敢，我能坚定地从你面前走 过，且带着一份从容，那将会是你从没见过的我。,"Bức thư viết cho chính mình số 518 Anh đang chờ đến một ngày khi anh đủ xuất sắc, đủ dũng cảm, có thể ung dung kiên định mà đứng trước mặt em. Đó sẽ là anh mà em chưa bao giờ có cơ hội nhìn thấy."
519,一切顺其自 然，最好的自己留给最后的人。,"Mọi thứ cứ để tự nhiên, bản thân mình tốt nhất nên để cho người cuối cùng bạn nhé."
519,写 给 自己 的 第 519 封 信 没必要刻意遇见谁，也不急于拥有谁，更不勉强留住谁。,"Bức thư viết cho chính mình số 519 Không cần phải cố tình gặp ai, cũng không cần vội chiếm hữu ai và càng không cần phải miễn cưỡng ai đó ở bên mình."
