src_id,src_lang,tgt_lang
1404_32_1,其它清洁法,Sử dụng các phương pháp khác
1500_10_3,[1] 研究来源 当File2HD网站列出URL地址列表后，同时按住Ctrl+F键打开搜索栏（Mac电脑上按住Cmd和F键）。,"[1] Nguồn nghiên cứu Sau khi cửa sổ trình duyệt hiện ra danh sách URL do File2HD phản hồi, nhấn Ctrl+F để mở thanh tìm kiếm (hoặc ⌘ Cmd+F trên máy tính Mac)."
1273_1_1,从iPhone中打印可以用来做很多事情，如打印照片、电子邮件和文章。,"Trong bài viết này, wikiHow sẽ hướng dẫn bạn cách in ảnh, tài liệu, email và nhiều nội dung khác từ iPhone."
1451_6_2,确保你手边备有一切所需物品，以确保清洁工作顺利进行。,Có một vài phương pháp mà bạn có thể thử để loại bỏ vết ố trên cửa sổ bên trong và bên ngoài:
1004_42_1,1. 准备好原料。,1. Tập trung nguyên liệu.
1590_15_1,6. 考虑整形手术。,6. Chờ đợi.
1383_31_1,- 可以修剪脱落的白色死皮，但不能完全除去指甲周围的表皮。,nan
1227_1_2,如果即将成为过去的恋人当下没有家人或朋友可以投靠，你将面临更加艰难的抉择。,Lại càng khó khăn hơn nếu người kia không có bạn bè hoặc gia đình để nhờ cậy.
886_8_2,“连接”按钮通常位于无线鼠标的底部。,"Nếu chuột của bạn có nút Channel,"
1558_42_1,- 发烧,- Sốt
864_11_1,6. 找到并按住/system/app/。,6. Tìm và nhấn /system/app/.
1551_26_2,卸掉睫毛胶之后，你的眼部可能还残留一些精油，用化妆棉或棉球轻轻地擦掉精油，然后用平常的洗面奶彻底洗干净。,"Có thể vẫn còn chút dầu ở vùng da quanh mắt sau khi bạn đã loại bỏ keo. Bạn có thể dùng bông gòn nhẹ nhàng lau sạch dầu, sau đó rửa mặt bằng sữa rửa mặt thông thường để làm sạch da mặt."
1068_1_2,创建一个Facebook页面，将为您的企业吸引更多的客户，对潜在客户的需求有一个更好地了解，可以让你保持在信息前沿。,"Nếu lập một fanpage, bạn có thể tiếp cận nhiều khách hàng và dễ dàng nắm bắt được thị hiếu của họ, đồng thời giúp bạn cập nhật thông tin nhanh chóng."
1034_15_2,拿开锅盖，试着把叉子或者刀戳进甜菜根里。,"Mở nắp ra, sau đó dùng dĩa hoặc dao đâm vào củ dền."
