src_id,src_lang,tgt_lang
4653_1_1,我认为这将是主要的事情。,Tôi nghĩ rằng đó sẽ là điều chính.
4653_1_2,我认为，同意某人所说，应该选择HSV-1血清阳性且携带APOE4等位基因的人。,"Tôi nghĩ, đồng ý với người nào đó nói rằng nên chọn những người dương tính với HSV-1 và những người cũng mang alen APOE4."
4654_1_1,我非常想说这个。,Tôi rất muốn nói điều này.
4654_1_2,我相信这是从许多问题中得出的结论。,Tôi chắc chắn điều này được tìm kiếm từ rất nhiều câu hỏi.
4654_1_3,史蒂文·雅各布森：但是马克，我可以提个建议吗？,"Steven Jacobson: Nhưng Mack, tôi có thể đưa ra một đề xuất được không?"
4655_1_1,对我来说，这不是一个试验设计。,"Đối với tôi, đó không phải là một thiết kế thử nghiệm."
4655_1_2,关键不在于它是否有效，而是如果它无效，你会怎么做？,"Vấn đề không phải là nó có hiệu quả hay không. Câu hỏi là, bạn sẽ làm gì nếu nó không hiệu quả?"
4656_1_1,你是否会抛弃这个假设？,Bạn có loại bỏ giả thuyết này không?
4656_1_2,我会说，这不是你想要做的。,Tôi sẽ nói rằng đó không phải là điều bạn muốn làm.
4656_1_3,如果他进行了一项大型试验，但没有成功，你会说病原体假设是错误的吗？,"Nếu anh ấy đã thực hiện một thử nghiệm lớn và nó không hiệu quả, bạn có nói rằng giả thuyết mầm bệnh là sai không?"
4657_1_1,我认为那是不正确的。,Tôi không nghĩ điều đó là chính xác.
4657_1_2,如果它有效，当然，每个人都会很高兴。,"Nếu nó có hiệu quả, tất nhiên, mọi người sẽ vui."
4657_1_3,麦克·马基维奇：现在，你有。,"Mack Mackiewicz: Bây giờ, bạn có rồi."
4657_1_4,史蒂文·雅各布森：如果你做了一个抗病毒药，他们好转了，,"Steven Jacobson: Nếu bạn đã sử dụng thuốc kháng virus, và họ khỏe hơn,"
4658_1_1,它们不会恶化，也不会发展成痴呆症或阿尔茨海默病，当然你找到了。,"Chúng không trở nên tồi tệ hơn, chúng không tiến triển thành chứng mất trí nhớ hoặc bệnh Alzheimer, chắc chắn bạn đã tìm thấy nó."
4658_1_2,但如果你没有找到，这就是我们遇到的问题，一团糟。,"Nhưng nếu bạn không tìm thấy, đó là vấn đề mà chúng ta đang gặp phải, một mớ hỗn độn."
4658_1_3,你怎么做试验设计呢？,Làm sao bạn thiết kế thử nghiệm?
4659_1_1,无论哪个假设成立，零假设确实有效，我们会说，是的，你确实发现了一些东西，或者你实际上没有发现任何东西。,"Bất kể giả thuyết nào đúng, giả thuyết null thực sự có tác dụng, chúng tôi sẽ nói, vâng, bạn thực sự đã tìm thấy điều gì đó hoặc bạn thực sự không tìm thấy gì."
4660_1_1,其实金钱问题不在于找不到东西。,Vấn đề không phải là tìm kiếm một thứ gì đó thực sự là vấn đề với tiền bạc.
4660_1_2,露丝·伊扎奇：这很重要，因为我不知道该说什么了。,Ruth Itzhaki: Điều đó rất quan trọng bởi vì tôi không biết phải nói gì sau đó.
4661_1_1,史蒂文·雅各布森：是的，没错。,Steven Jacobson: Đúng vậy.
4661_1_2,弗雷德·沃林斯基：史蒂夫，我能说点什么吗？,"Fred Volinsky: Tôi có thể nói gì đó không, Steve?"
4661_1_3,史蒂文·雅各布森：可以。,Steven Jacobson: Được.
4661_1_4,弗雷德·沃林斯基：你可以用那个论点。,Fred Volinsky: Anh có thể dùng lập luận đó.
4662_1_1,这是弗雷德·沃林斯基，我写了一篇文章，我和帕斯卡尔·戈德施密特合作撰写，他阅读了这篇文章，我们与雨果合作。,"Đây là Fred Volinsky, và tôi đã viết một bài báo, tôi đã đồng tác giả, và Pascal Goldschmidt đã đọc nó, nơi tôi đã cộng tác với Hugo."
4663_1_1,以及玛格丽特·佩里卡克-凡斯作为本文的合著者，对单纯疱疹病毒宿主遗传学作为AD的回顾。,"và cũng có Margaret Pericak-Vance với vai trò đồng tác giả của bài báo này, đánh giá về di truyền học vật chủ của virus herpes như AD."
4663_1_2,其他所有人都在讨论事情，,"Mọi người khác đều thảo luận về những điều,"
4664_1_1,关于AD的基础科学知识，它提供了更多更详细的信息。,Nó có nhiều thông tin chi tiết hơn về khoa học cơ bản của bệnh Alzheimer.
4664_1_2,在这方面，没有人比Tanzi博士了解得更多，这并非我的评论。,"Không ai hiểu rõ về chủ đề này hơn Tiến sĩ Tanzi, và đó không phải là nhận xét của tôi."
